Gene	OoCyte_1	OoCyte_2	OoCyte_3	Zygote_1	Zygote_2	Zygote_3	X2_Cell_embryo_1_Cell_1	X2_Cell_embryo_1_Cell_2	X2_Cell_embryo_2_Cell_1	X2_Cell_embryo_2_Cell_2	X2_Cell_embryo_3_Cell_1	X2_Cell_embryo_3_Cell_2	X4_Cell_embryo_1_Cell_1	X4_Cell_embryo_1_Cell_2	X4_Cell_embryo_1_Cell_3	X4_Cell_embryo_1_Cell_4	X4_Cell_embryo_2_Cell_1	X4_Cell_embryo_2_Cell_2	X4_Cell_embryo_2_Cell_3	X4_Cell_embryo_2_Cell_4	X4_Cell_embryo_3_Cell_1	X4_Cell_embryo_3_Cell_2	X4_Cell_embryo_3_Cell_3	X4_Cell_embryo_3_Cell_4	X8_Cell_embryo_1_Cell_1	X8_Cell_embryo_1_Cell_2	X8_Cell_embryo_1_Cell_3	X8_Cell_embryo_1_Cell_4	X8_Cell_embryo_2_Cell_1	X8_Cell_embryo_2_Cell_2	X8_Cell_embryo_2_Cell_3	X8_Cell_embryo_2_Cell_4	X8_Cell_embryo_2_Cell_5	X8_Cell_embryo_2_Cell_6	X8_Cell_embryo_2_Cell_7	X8_Cell_embryo_2_Cell_8	X8_Cell_embryo_3_Cell_1	X8_Cell_embryo_3_Cell_2	X8_Cell_embryo_3_Cell_3	X8_Cell_embryo_3_Cell_4	X8_Cell_embryo_3_Cell_5	X8_Cell_embryo_3_Cell_6	X8_Cell_embryo_3_Cell_7	X8_Cell_embryo_3_Cell_8	Morulae_1_Cell_1	Morulae_1_Cell_2	Morulae_1_Cell_3	Morulae_1_Cell_4	Morulae_1_Cell_5	Morulae_1_Cell_6	Morulae_1_Cell_7	Morulae_1_Cell_8	Morulae_2_Cell_1	Morulae_2_Cell_2	Morulae_2_Cell_3	Morulae_2_Cell_4	Morulae_2_Cell_5	Morulae_2_Cell_6	Morulae_2_Cell_7	Morulae_2_Cell_8	Late_blastoCyst_1_Cell_1	Late_blastoCyst_1_Cell_2	Late_blastoCyst_1_Cell_3	Late_blastoCyst_1_Cell_4	Late_blastoCyst_1_Cell_5	Late_blastoCyst_1_Cell_6	Late_blastoCyst_1_Cell_7	Late_blastoCyst_1_Cell_8	Late_blastoCyst_1_Cell_9	Late_blastoCyst_1_Cell_10	Late_blastoCyst_1_Cell_11	Late_blastoCyst_1_Cell_12	Late_blastoCyst_2_Cell_1	Late_blastoCyst_2_Cell_2	Late_blastoCyst_2_Cell_3	Late_blastoCyst_2_Cell_4	Late_blastoCyst_2_Cell_5	Late_blastoCyst_2_Cell_6	Late_blastoCyst_2_Cell_7	Late_blastoCyst_2_Cell_8	Late_blastoCyst_2_Cell_9	Late_blastoCyst_2_Cell_10	Late_blastoCyst_3_Cell_1	Late_blastoCyst_3_Cell_2	Late_blastoCyst_3_Cell_3	Late_blastoCyst_3_Cell_4	Late_blastoCyst_3_Cell_5	Late_blastoCyst_3_Cell_6	Late_blastoCyst_3_Cell_7	Late_blastoCyst_3_Cell_8
ERCC5	16.996	21.28	26.289	17.649	16.062	19.834	11.67	10.444	10.272	10.582	10.122	9.597	25.64	29.679	24.11	10.813	7.978	25.918	16.215	16.792	14.942	15.045	15.587	22.02	14.476	13.86	7.739	4.576	8.328	14.545	26.854	18.567	21.221	9.6	9.553	13.256	10.152	6.56	12.639	6.321	5.058	7.842	9.439	6.733	24.954	0.622	5.145	10.748	5.787	0.66	0.592	34.595	6.383	3.536	1.982	3.092	0	0	2.953	5.047	1.441	6.011	0.7	2.491	3.743	0.409	0.546	0.204	5.066	0.104	7.787	1.11	0.242	0.771	8.457	7.339	0.197	13.813	0	0	3.308	0.307	0	0	17.023	0	6.079	0	0	3.17
GPR98	0.295	0.546	0.603	0.372	0.582	0.709	0.208	0.273	0.486	0.387	0.497	0.339	2.79	0.814	0.143	0.667	0.821	0.78	0.234	0.888	0.358	0.796	0.473	0.46	0.518	0.19	0.716	0.719	0.867	0.671	1.434	0	0	0.104	0	0.371	1.835	0.269	0.274	1.678	0.257	0.935	0.587	0.762	0.411	0.492	0.654	0	0	0	0.561	0	0	0.24	0	0.415	0	0.376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RXFP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APBB2	6.043	6.564	7.712	7.432	7.699	9.132	5.508	4.688	4.802	4.521	5.805	5.415	12.351	12.528	15.752	8.183	4.848	6.76	7.155	8.39	11.393	10.318	9.446	10.052	0.285	10.247	4.462	6.515	1.196	11.034	8.191	4.467	3.597	7.614	1.596	7.84	7.979	6.345	9.932	8.928	1.26	3.538	6.896	10.26	18.858	3.99	15.33	14.853	7.981	8.234	8.42	0.131	8.803	11.286	12.077	6.91	19.325	6.191	12.783	8.798	0	1.135	0.16	3.412	3.642	0.923	0	3.464	0.634	1.79	0	6.942	1.291	3.154	8.261	0.133	0	2.36	0	7.804	2.086	0.158	0.175	9.479	3.165	0	9.032	0	0.598	0.195
KLHL13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSSL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.183	0	0	0	0	0	0	6.795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCL3	1072.098	670.173	652.315	693.864	607.531	414.215	887.357	759	495.538	552.094	764.473	874.787	664.706	596.748	598.767	625.582	326.158	343.626	353.415	367.812	516.021	456.319	454.613	558.767	336.432	484.932	389.462	227.461	1444.233	1843.54	1392.267	1623.517	1708.367	1828.761	1670.192	1164.917	1225.781	1627.681	1660.163	1460.746	1875.479	1739.425	1495.01	2416.212	650.703	1554.848	312.824	498.342	1884.772	2043.133	2156.601	25.068	2106.595	1290.208	2385.502	2843.583	2048.168	2293.823	2209.301	1873.372	2616.601	2416.282	1667.267	1503.323	1469.599	2352.466	2659.814	1919.933	2262.151	2038.409	1863.709	783.379	2118.018	233.705	211.374	1510.097	1329.853	577.689	401.432	70.263	1312.749	1798.396	308.667	121.2	95.273	191.803	82.982	366.977	205.477	641.381
AEN	3.546	5.633	6.609	14.784	12.572	11.126	8.022	9.014	10.691	11.352	11.953	9.742	10.938	14.435	13.433	18.306	12.448	14.686	14.784	15.87	12.026	12.996	22.367	14.889	13.187	2.974	11.632	7.675	36.876	47.108	40.559	46.384	110.242	85.719	80.006	59.075	79.963	77.445	57.457	35.565	26.391	60.825	33.312	61.637	32.207	36.642	0.423	42.94	40.186	100.095	39.814	0.301	77.013	72.758	100.964	84.001	108.909	65.741	79.376	57.239	31.323	40.11	26.903	17.84	19.654	23.363	51.472	26.013	31.498	103.242	46.746	10.535	35.809	39.841	67.216	12.378	42.721	57.046	51.403	18.18	72.732	15.658	33.279	31.249	29.423	21.999	118.26	41.405	17.146	100.838
FRG2	0	0.264	0	0.293	0.268	0.439	0	0	0.137	0	0.608	0.141	40.097	61.372	85.396	62.8	68.291	15.481	93.013	13.801	34.526	26.053	61.564	50.467	64.779	117.843	74.143	254.797	11.244	1.169	5.784	25.608	0.81	1.725	6.577	16.448	8.503	0.361	15.064	41.365	17.803	13.41	12.966	8.955	1.013	0.141	845.35	0.432	0	15.195	2.331	2575.609	0	1.268	0	0	0	0.258	3.44	0.109	2.224	0	0	0	0	0	0	0	0	0	10.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DECR1	0.773	1.279	1.11	3.254	2.997	2.143	1.143	1.397	0.569	1.443	0.698	1.932	5.58	0	0	4.103	4.194	0	3.305	6.847	1.318	3.805	0	0.258	4.416	8.198	8.027	0	0	0.13	0	0	0	0	0	0.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.461	0	0	0	11.386	0	4.75	0	9.897	14.554	17.147	0	0.23	1.285	0	0	0	0	0	0	36.987	0	0	0	0	12.502	0	0	40.395
SALL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.183	4.969	9.767	0	0	11.069	0.511	7.806	1.162	0	0	0	0	0	0	0	0	0	0	0	0.854	3.865	0	8.788	2.603	2.044	6.56	0	0	0.986	1.377	0	0	0.193	1.736	0	0	0	0	0	0	0	0	0	0	0	0	0.907	0	0.356	0	0	0	0	0	10.172	0.119	0	4.932	1.344	0	0	5.296	0	0	0
GGT3P	0	0	0	0	0.118	0	0.106	0	0.14	0.106	0	0.126	1.819	1.401	0	0.36	2.121	0.374	0.86	0.636	0.375	0	0	0.194	0	3.196	0	0	0	0	0	0	0	0	0	0	0.142	0.629	0.143	0	0	0.588	0.171	0	0	0	0	0	0	0	0	0	0	0.122	0	0	0	0.234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.384	0	0	0
CADM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149	0	0.112	0	0	0.21	0.117	0	0	0	0	0	0	0	0	0	0	0	0.944	0.145	0	0.117	0	0.12	0.435	0.591	0.199	0.636	0.219	0	0.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.292	0	0	0	0	0	0	0
RPS18	1116.96	801.516	790.296	955.734	632.221	643.369	1220.316	1034.745	917.353	1075.989	1166.131	1242.273	1792.682	2009.426	1360.309	1884.116	3100.011	2689.322	3337.423	2915.412	2976.582	2236.374	2562.918	2796.292	3154.31	3041.907	3310.106	3418.473	1394.778	1291.742	1739.888	2111.237	1329.953	1209.986	1444.024	1669.363	6479.855	5897.248	6873.273	5214.152	4432.279	4847.362	5058.155	4771.333	1818.357	2242.326	6698.073	2578.7	4136.284	2475.424	1331.916	1567.68	2916.551	4488.665	3587.261	2889.77	2482.332	3692.251	5434.546	4159.095	2793.862	3121.575	4897.972	2765.385	2910.795	1510.46	2165.883	3156.501	1016.35	2291.564	3104.78	2514.426	2584.783	2927.907	3450.274	2324.161	2120.44	2838.632	2158.848	3099.212	4059.839	2460.154	9749.304	6271.008	3565.009	7365.105	5655.498	6547.828	4602.815	5674.399
SLC10A7	0.803	0.74	0.623	1.255	1.118	1.305	1.443	0.623	1.041	1.261	0.681	0.765	0	0.307	0	0	1.259	0	1.067	1.199	1.105	0.885	1.154	0.892	0.402	0.28	0.647	0	0.335	0.557	1.733	0	0.149	0	0.338	0.67	0.57	0	0.232	0	1.208	4.229	0	0	0	0.622	0	5.244	1.818	2.101	0	0	0	0	0.149	0	0	0	1.149	0	0	0.299	2.594	0.655	0	6.964	0	2.054	1.9	0.168	9.254	4.639	1.911	0	0	0	2.491	2.305	0.637	0.823	0.179	1.383	0	8.096	0	0	0	0	2.182	0
OR2K2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.392	0	0	0	6.593	0	0	0	0	4.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRIX1	157.08	77.659	79.109	134.732	179.965	83.51	165.987	167.796	114.105	116.528	95.402	106.077	220.93	141.416	203.554	174.777	127.467	124.435	148.156	128.05	169.428	168.341	142.427	180.277	31.297	18.866	46.246	42.605	399.2	165.26	444.156	429.814	532.898	539.386	582.542	659.959	216.708	333.785	256.181	355.654	301.297	411.267	308.498	497.768	249.341	285.087	89.577	228.477	217.256	203.219	260.088	122.235	124.018	310.206	226.459	338.883	423.541	385.92	236.174	392.53	23.204	100.184	83.561	216.325	24.966	212.996	62.581	86.731	116.634	35.57	186.599	61.458	69.484	132.154	35.487	262.86	110.785	207.043	64.348	119.427	4.02	221.589	17.594	36.447	94.089	85.643	89.962	44.566	162.287	172.072
LMAN1	33.592	31.096	27.733	26.566	20.061	30.579	20.217	23.275	23.503	25.101	30.2	32.313	19.303	17.385	16.251	27.892	48.514	67.924	41.206	40.684	40.073	40.963	36.7	27.66	31.085	29.028	37.988	27.581	23.626	17.707	17.904	23.044	16.535	11.513	16.977	11.046	10.831	18.234	7.485	13.6	24.155	15.846	12.271	9.472	16.182	36.114	20.671	43.263	26.144	55.257	32.992	47.477	19.586	26.598	16.373	15.4	27.299	12.028	20.284	14.292	48.6	33.575	18.311	33.523	31.336	18.515	40.086	20.291	14.581	25.023	31.388	15.09	23.707	24.205	50.705	34.729	28.114	47.414	84.263	58.211	49.578	59.801	13.418	3.969	34.93	13.28	10.057	8.74	13.181	8.033
CHD8	21.297	23.99	25.061	16.687	18.12	22.768	16.688	17.446	19.937	21.398	14.693	16.509	16.094	25.951	19.894	29.325	11.718	15.737	10.741	10.584	15.791	22.865	16.876	12.043	13.948	12.644	10.714	14.134	25.672	21.987	12.55	15.655	14.247	9.142	12.275	16.392	13.455	11.013	7.637	11.37	9.935	7.857	6.104	3.004	5.528	11.86	11.626	9.862	5.668	18.237	9.492	34.058	5.633	5.621	9.653	6.706	12.2	9.422	4.878	3.276	4.902	6.219	0.3	1.871	10.887	1.652	2.288	4.314	0.333	14.797	2.737	4.463	3.032	7.246	0.684	9.167	4.747	0.202	4.039	1.236	2.37	1.43	2.113	0	2.67	5.221	1.466	0	3.249	2.177
SUMO1	120.074	178.955	160.207	96.86	105.906	97.76	101.619	92.445	76.733	64.145	113.522	93.449	117.722	128.802	58.408	121.842	117.569	95.312	93.309	66.113	90.865	76.561	110.823	103.435	37.356	49.981	62.711	50.502	93.939	74.407	102.329	41.103	56.266	122.669	69.738	109.05	59.673	51.397	45.936	63.861	72.26	20.744	51.577	50.596	160.875	154.491	33.828	71.94	118.761	149.882	99.884	119.544	93.805	103.828	26.536	38.624	163.868	61.109	60.447	97.299	213.057	94.332	162.026	27.605	53.891	37.372	152.158	103.123	169.239	67.044	123.724	70.453	66.07	31.569	120.387	28.04	39.914	93.719	39.683	80.244	80.235	32.338	53.845	199.985	183.061	54.301	180.341	35.781	90.491	130.242
GP1BA	0.368	1.16	0.58	0.543	0.766	0.414	0.97	0.39	0.304	0.946	0.594	0.82	0	2.592	0	5.741	1.388	0.677	1.109	2.332	0.788	1.398	0.79	1.091	2.68	0	1.469	0	0	0	0	0.196	0	0	0	0	0	0	0	0	0	2.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UQCR11	12.793	6.068	5.293	2.744	1.375	4.427	3.083	3.562	1.849	2.093	2.617	1.426	0	0.106	0.429	7.612	0.877	0.761	4.992	3.208	1.084	1.198	7.514	2.715	1.655	0	0	8.602	4.019	4.009	5.152	0	10.285	0.775	2.802	3.656	6.456	6.348	0	1.93	0	15.704	5.967	6.449	33.207	16.973	1.382	15.871	14.449	7.853	14.054	0.878	32.643	17.941	23.247	21.136	40.145	9.501	3.831	16.552	46.065	58.806	131.26	73.518	166.542	44.35	32.071	61.003	14.758	89.618	75.012	33.03	44.275	99.449	52.898	68.769	6.92	16.691	6.264	21.606	41.669	104.835	188.138	142.301	226.287	104.981	140.504	230.537	66.923	102.044
DDB1	22.035	34.888	34.421	29.864	27.097	28.927	20.287	21.405	24.948	23.496	17.266	17.789	43.375	52.399	20.829	40.049	40.296	50.444	39.213	37.858	33.531	26.382	48.438	38.66	26.035	16.847	26.908	35.392	33.779	16.044	26.96	27.027	13.96	19.86	17.148	30.108	18.564	15.104	14.928	19.587	19.997	17.671	23.716	8.426	9.281	25.128	1.641	9.267	19.485	10.001	27.605	5.295	18.625	22.526	23.006	17.695	34.606	17.575	23.327	30.818	38.422	40.879	35.469	57.984	37.326	38.787	55.951	52.75	84.144	43.23	32.504	57.38	33.672	38.845	79.469	19.353	53.839	74.473	35.657	84.807	9.232	15.332	32.053	56.002	34.718	23.408	51.608	78.157	46.466	124.04
MYO9B	0.284	0.335	0.499	1.237	1.214	1.551	1.029	1.131	1.388	1.105	0.676	1.038	2.468	5.582	0.956	1.093	1.096	1.216	2.751	2.361	2.305	1.722	2.312	1.629	2.175	1.021	1.076	0.719	1.31	1.575	0	0.281	0	1.05	0	0.391	1.729	0.539	0.147	0.954	3.472	0.199	0.235	1.356	1.213	0.129	0	1.339	1.473	0	0	0	1.551	1.045	0.675	0.348	0	0.688	0.101	2.113	5.425	0	0.113	0.696	0	0.745	0	1.069	0	0.223	0.64	0.327	0.377	2.055	0.119	0	0.374	0.151	0.251	0.245	0	0.145	19.795	0	0	0	0	0	1.888	0
CRNKL1	8.778	7.378	7.883	24.181	17.84	21.855	21.517	22.441	21.224	17.602	16.653	17.348	23.265	28.69	20.009	28.265	12.333	10.081	11.927	13.187	19.396	17.423	22.382	17.488	4.735	28.068	7.506	19.827	31.228	18.705	15.565	12.556	7.51	23.612	14.459	29.053	16.801	18.909	14.532	12.595	12.37	13.254	22.581	17.895	16.716	19.863	1.496	15.96	7.358	7.255	25.15	0.745	5.986	12.638	25.443	11.643	17.607	9.395	6.366	15.306	2.572	8.496	5.627	3.587	2.845	1.479	3.865	6.382	22.314	0.289	6.307	9.125	15.846	0.62	0.296	8.306	2.674	2.472	13.788	25.414	0.521	3.001	0	2.762	15.086	20.064	3.639	2.421	4.098	4.825
C9orf45	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212	0	0	0	0	0	0	0	0	0	0.164	0	0	0.542	0	0	0	0.472	0	0	0	0	0	0	0	0	0.815	0	0	0	0	0.706	0	7.531	0	2.008	0	0	0	0.201	0.492	0.104	0	0	0.173	0	0	0	0	5.444	0	0	2.629	0	0
