"","OoCyte_1","OoCyte_2","OoCyte_3","Zygote_1","Zygote_2","Zygote_3","X2_Cell_embryo_1_Cell_1","X2_Cell_embryo_1_Cell_2","X2_Cell_embryo_2_Cell_1","X2_Cell_embryo_2_Cell_2","X2_Cell_embryo_3_Cell_1","X2_Cell_embryo_3_Cell_2","X4_Cell_embryo_1_Cell_1","X4_Cell_embryo_1_Cell_2","X4_Cell_embryo_1_Cell_3","X4_Cell_embryo_1_Cell_4","X4_Cell_embryo_2_Cell_1","X4_Cell_embryo_2_Cell_2","X4_Cell_embryo_2_Cell_3","X4_Cell_embryo_2_Cell_4","X4_Cell_embryo_3_Cell_1","X4_Cell_embryo_3_Cell_2","X4_Cell_embryo_3_Cell_3","X4_Cell_embryo_3_Cell_4","X8_Cell_embryo_1_Cell_1","X8_Cell_embryo_1_Cell_2","X8_Cell_embryo_1_Cell_3","X8_Cell_embryo_1_Cell_4","X8_Cell_embryo_2_Cell_1","X8_Cell_embryo_2_Cell_2","X8_Cell_embryo_2_Cell_3","X8_Cell_embryo_2_Cell_4","X8_Cell_embryo_2_Cell_5","X8_Cell_embryo_2_Cell_6","X8_Cell_embryo_2_Cell_7","X8_Cell_embryo_2_Cell_8","X8_Cell_embryo_3_Cell_1","X8_Cell_embryo_3_Cell_2","X8_Cell_embryo_3_Cell_3","X8_Cell_embryo_3_Cell_4","X8_Cell_embryo_3_Cell_5","X8_Cell_embryo_3_Cell_6","X8_Cell_embryo_3_Cell_7","X8_Cell_embryo_3_Cell_8","Morulae_1_Cell_1","Morulae_1_Cell_2","Morulae_1_Cell_3","Morulae_1_Cell_4","Morulae_1_Cell_5","Morulae_1_Cell_6","Morulae_1_Cell_7","Morulae_1_Cell_8","Morulae_2_Cell_1","Morulae_2_Cell_2","Morulae_2_Cell_3","Morulae_2_Cell_4","Morulae_2_Cell_5","Morulae_2_Cell_6","Morulae_2_Cell_7","Morulae_2_Cell_8","Late_blastoCyst_1_Cell_1","Late_blastoCyst_1_Cell_2","Late_blastoCyst_1_Cell_3","Late_blastoCyst_1_Cell_4","Late_blastoCyst_1_Cell_5","Late_blastoCyst_1_Cell_6","Late_blastoCyst_1_Cell_7","Late_blastoCyst_1_Cell_8","Late_blastoCyst_1_Cell_9","Late_blastoCyst_1_Cell_10","Late_blastoCyst_1_Cell_11","Late_blastoCyst_1_Cell_12","Late_blastoCyst_2_Cell_1","Late_blastoCyst_2_Cell_2","Late_blastoCyst_2_Cell_3","Late_blastoCyst_2_Cell_4","Late_blastoCyst_2_Cell_5","Late_blastoCyst_2_Cell_6","Late_blastoCyst_2_Cell_7","Late_blastoCyst_2_Cell_8","Late_blastoCyst_2_Cell_9","Late_blastoCyst_2_Cell_10","Late_blastoCyst_3_Cell_1","Late_blastoCyst_3_Cell_2","Late_blastoCyst_3_Cell_3","Late_blastoCyst_3_Cell_4","Late_blastoCyst_3_Cell_5","Late_blastoCyst_3_Cell_6","Late_blastoCyst_3_Cell_7","Late_blastoCyst_3_Cell_8"
"TMEM180",0,0,34,0,0,0,0,55,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778,3339,464,675,1194,451,152,864,354,320,82,442,850,0,0,6260,0,626,0,1076,4119,565,368,14,5481,2037,5016,5134,5017,647,1057,2666,0,48,917,3597,2202,0,4343,700,0,2733,1822,163,0,54,163,0,0,0,727,0,0,0,0,0,1171,0,885,0,2362,585
"TEK",687,458,416,1074,1042,1591,456,468,518,621,518,599,1235,3797,3908,502,1520,1170,825,1313,1714,1771,1053,1273,444,639,352,858,183,142,123,602,156,34,34,187,472,0,773,980,168,823,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0
"ZNF83",43,38,57,103,102,142,130,120,107,111,83,109,992,1263,569,505,417,95,108,423,326,157,319,460,599,242,146,41,58,154,180,214,217,34,41,149,20,17,150,30,130,239,100,61,131,25,1,671,174,150,69,1,426,331,111,124,139,105,56,380,145,2,42,3,4,0,63,31,679,12,55,10,1,19,3,204,400,379,11,1,0,47,0,55,810,84,54,87,0,1112
"GDPD5",0,721,0,2136,1011,2221,1617,2712,3636,3521,4012,5138,4722,0,4979,0,1239,10028,7262,1902,2306,8961,3658,6052,1042,879,723,0,1257,135,0,639,5026,0,0,0,404,0,9199,0,3432,13807,0,2537,375,0,0,3866,3231,0,0,0,0,0,0,404,0,375,463,2948,0,0,0,0,1326,16164,15439,11297,5531,43993,1729,7465,2628,0,0,7636,0,16625,173,0,10952,778,0,1674,0,0,0,0,7789,0
"PDCD4",1168,1818,1284,2224,976,1896,2114,2586,736,1340,1518,1619,1082,2511,3685,1260,132,619,743,5459,1253,1307,2118,2630,3720,1922,2028,2838,1234,963,310,3227,234,317,888,1239,3135,85,1641,3467,5045,6336,1091,6943,54,433,101,294,39,557,85,1632,434,132,139,442,0,124,442,70,0,425,495,77,124,1168,1531,62,301,0,1121,278,93,201,681,124,85,116,70,287,472,101,410,349,0,0,70,0,93,294
"SELL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTBP4",346,597,504,533,368,518,1001,591,504,756,706,800,1114,1711,4332,2177,2827,648,2352,892,4847,2459,1143,3294,646,408,106,991,0,296,356,548,0,197,70,0,1555,3059,389,460,2807,3431,123,389,0,151,0,418,238,0,0,0,101,836,202,0,274,310,0,1104,0,0,0,0,755,0,0,0,0,0,115,0,58,410,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,0,151
"NEFH",3953,5346,5876,9959,7807,11873,6930,10242,16874,17556,10911,12701,15359,14699,12358,8194,2758,4315,3027,4369,4235,4099,5750,5321,5485,2374,6995,10168,2666,2621,3061,3641,4452,4958,1921,2284,5586,5839,3062,9640,3633,3246,7505,4607,4092,5706,4191,8690,4151,4278,3281,5320,3019,16942,3389,1585,4696,5797,3443,1020,0,1414,1450,6550,0,709,3680,1774,48,0,275,39,10683,16009,3048,13978,87,2210,13684,1521,13871,153,5183,0,0,7318,1542,6068,0,0
"ROR2",0,0,0,0,0,1451,0,0,0,0,0,0,0,0,0,0,7799,0,13430,0,0,43728,0,0,0,0,0,0,0,4259,15815,0,0,0,0,34635,2187,0,0,57728,25229,9441,25787,79717,0,0,0,0,0,0,0,7080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258,3372,0,1013,0,346,4421,5448,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34420,10535,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0
"GYPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,2599,18126,22757,0,0,0,0,11110,458,114,85229,112914,152,37314,57244,229,0,0
"CHST15",12522,15728,13608,6748,8085,8449,5486,4885,5448,6613,6465,6918,20866,16742,34058,15560,18859,4296,9984,15719,13752,15102,13300,20603,0,2569,2181,0,7553,6636,5194,2767,3338,2068,5122,3073,958,1972,15360,8486,14719,1425,5446,657,0,2836,1183,13770,9844,13325,7212,1708,3194,6504,4414,13304,21624,7484,4272,26308,0,1031,9884,14973,2457,1332,600,3509,375,0,4427,0,1730,14623,282,0,0,451,15980,338,207,1481,826,4924,0,15566,4904,0,0,0
"PLXNA1",1039,782,1118,624,441,807,753,881,1308,1443,1621,1909,3129,1227,1470,0,1766,165,3366,2284,1013,1435,1215,2583,0,485,995,347,0,0,1417,871,85,0,178,368,257,0,0,1918,1460,825,116,2372,98,728,0,0,263,0,159,0,446,2484,1779,1082,441,1175,1415,417,183,2125,1319,0,5464,549,5122,458,5554,433,275,134,563,140,0,507,0,0,1581,5154,10830,311,337,189,5765,8133,3412,5133,6932,6408
"FNDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0
"CD82",42316,67262,55957,59324,58848,58026,73091,86748,127137,159851,73926,104982,171003,120705,104108,102955,98470,105633,79178,109644,90524,124843,61740,77605,46329,26006,69165,66998,19676,46717,15649,22040,4911,21108,9983,17721,68407,23275,52272,29645,18623,11925,19312,32609,37819,44087,10729,57992,53537,28107,23314,6987,229386,118266,141675,160054,174341,106784,108094,117353,1948,2533,54226,4061,4091,1559,1039,7180,1850,1299,3183,4907,3386,4582,2992,4287,844,2306,1039,1431,1787,3574,9432,2147,10633,2886,2277,3352,1821,3122
"EMILIN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL18A1",23,0,0,55,49,72,131,125,65,147,97,131,253,0,478,91,51,0,222,23,64,107,90,215,0,0,78,0,0,0,0,0,0,0,0,0,59,0,0,25,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,560,16,0,0,738,0,0,0,0,0,0
"C9orf16",453,101,230,176,108,359,291,115,244,386,325,305,0,1621,3445,27,2624,453,365,4293,771,243,899,1264,1147,401,200,338,514,1096,868,280,574,686,499,717,5935,3512,1983,2821,3221,81,2301,4880,1055,744,7,1083,1374,933,406,0,1463,705,2518,1564,102,3646,1390,1295,527,74,0,291,0,14,825,7,2852,886,345,237,102,203,792,392,433,0,128,927,54,602,27,88,12719,5252,34,5677,6498,4327
"CLCN4",9619,11906,9177,8917,14374,14380,5095,6382,6883,8517,10824,14909,12785,20582,17378,1774,19149,18812,21558,34687,15547,28398,20275,27201,10843,10298,1643,6302,564,980,2287,138,2009,1581,178,524,1658,191,4829,1646,1049,0,0,8025,7842,823,2027,3316,143,358,2994,36,0,333,0,0,5536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,639,30,0,0,0,670,0,0,0,0,0,0,96,0,0,0,0,125,353,0,0,549,0,0,118,144,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASS1",1320,1089,1183,1154,1353,1718,1698,1468,1121,2117,1300,1227,7645,8169,4350,3975,1780,5705,3413,3904,5433,6562,2931,7401,466,1662,776,1281,932,763,357,222,682,582,31,95,1069,272,566,1519,503,1445,513,587,0,0,0,0,0,0,262,0,241,378,63,0,503,0,84,462,157,94,0,31918,806,0,84,523,7461,0,21,3864,1406,293,0,5548,5140,13567,13980,168,262,41211,3595,42,35377,15321,84,10550,77784,9465
"LOC729603",26,23,24,52,48,50,112,97,111,121,94,91,102,62,32,54,55,56,76,50,54,50,33,68,120,88,56,219,49,124,41,51,61,49,40,28,181,208,495,99,145,141,119,109,42,10,59,41,136,23,14,97,193,463,120,217,123,231,261,224,16,18,2028,27,33,13,13,85,13,13,12,22,21,57,28,59,16,25,10,24,17,40,163,15,34,17,30,87,41,51
"GNA11",579030,363222,368537,68316,122079,182812,165792,171897,167743,198102,178077,232247,190860,180355,173028,113743,191538,179443,156947,202703,280803,281333,193539,257243,33318,24394,36813,38826,14497,25691,22977,40357,29615,19323,11714,8874,64893,85370,43094,76801,61752,98836,59579,84602,82708,30208,2582,26316,36334,36391,23820,74,30909,24361,39557,38906,56481,19477,21742,49035,28539,13787,6920,25373,2746,20175,6958,10730,37550,14568,6216,5923,10697,6778,18229,2413,28174,39646,30002,5017,60708,21103,54728,20300,9309,1204,130,13240,46543,49290
"LOC654342",7015,6705,8362,2740,2933,4433,2700,4629,2777,4474,4283,6252,5619,0,693,2348,4623,4507,6704,3582,3235,2465,4314,3737,1678,7122,2415,3319,2180,3078,2632,1597,7571,113,316,580,3894,617,77,6360,4086,5009,9138,77,6049,1465,0,3356,2777,8400,1003,925,2006,154,1272,3048,39,4980,1970,155,154,501,7278,77,6855,39,3697,462,2926,616,2311,1079,1004,2081,231,1502,231,809,5121,38,501,925,8215,6559,1967,77,5631,6291,193,2507
"SUZ12P",0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,11,11,18,22,32,18,13,26,17,4,12,48,42,13,81,81,11,41,62,24,21,17,56,27,32,4,8,32,18,10,10,35,16,24,7,17,47,35,4,19,25,62,14,47,76,12,15,21,105,7,56,22,19,0,20,2,26,4,102,15,4,25,0,48,0
"SDC2",441,698,684,667,780,1333,730,865,757,766,351,906,2419,1227,0,1263,1197,815,914,0,1525,2295,1822,553,1501,1169,523,2613,413,761,1495,3374,1539,825,1047,984,892,2270,613,0,1382,49,2387,153,2773,739,234,2127,838,603,189,4250,104,59,31,577,464,59,564,0,0,0,0,0,0,0,0,0,0,0,0,0,126,797,0,0,0,0,0,0,0,0,0,0,1509,0,4379,0,0,0
"AHCYL2",6214,5806,5318,6261,6588,12835,12315,14102,8170,11094,13415,13502,32158,26926,43714,22953,39172,11123,40474,68421,45372,63103,40988,82155,21741,9169,9484,15457,1469,16406,1960,1682,3778,0,0,1076,14219,0,0,1259,0,30572,0,10645,0,0,569,3494,0,2232,447,36059,10528,3048,489,0,27311,5819,4559,365,0,7466,0,0,0,0,0,0,0,0,0,0,408,1909,1137,0,0,27520,0,894,0,0,0,1666,0,0,28694,0,6096,0
"TMEM125",101,55,27,94,78,76,170,222,32,99,128,85,1126,1284,3388,94,16,355,117,190,151,0,156,621,62,16,0,0,36,0,0,0,0,0,0,0,0,0,862,259,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,0
"FUT4",71,59,82,38,23,34,31,32,32,64,39,53,239,60,49,0,0,0,113,0,32,27,74,32,567,1430,287,696,2066,1562,1750,2156,1932,1115,797,984,6436,6391,7627,10259,6182,9291,11516,12005,3228,1225,15,1203,1719,2032,1280,15,2578,1772,2984,4251,3300,3721,1592,3731,55,340,472,1598,1336,365,114,733,3157,34,338,422,105,17,11,1607,741,686,17,15,3086,1070,0,303,96,0,21,2465,2055,2236
"PECI",6709,5426,5440,6581,6855,8687,4831,5486,4803,4966,4614,6567,3350,1879,0,13317,150,790,2303,12862,5832,10287,4728,3039,1983,1331,2998,5189,2237,3010,786,1169,0,253,0,90,2250,82,0,0,0,0,0,0,8956,518,0,382,218,27,0,6026,3575,0,0,0,0,0,1066,2296,0,1131,0,164,463,13191,123,1050,504,123,4006,913,4125,300,477,5546,22907,232,5122,887,109,177,0,21975,0,11251,0,560,20204,55
"GSTP1",52,51,63,11,19,9,25,12,10,9,6,2,1,95,31,18,48,18,18,8,0,1,0,6,67,94,1,41,1,71,16,115,51,21,14,17,85,46,490,195,196,12,0,300,18,0,0,25,10,1,1,0,310,150,66,24,258,15,131,46,3649,2615,2787,6507,3669,2723,4315,3887,3516,2173,5480,2194,4530,8878,4881,3672,5933,10292,3744,3649,9955,6804,9439,5126,4454,3980,9489,5108,15468,8342
"SLC9A3R1",2803,2231,2989,14376,10688,20809,16770,18223,16758,20164,12742,16028,10056,27877,15114,2737,26265,20378,16615,19887,26301,12397,15738,24675,2087,3773,3383,9297,135,220,5597,1330,796,2926,1362,1581,4300,9231,52,8877,5648,197,8661,2763,13595,10292,31,1984,1839,1785,4923,0,33747,16612,1849,12823,23875,8184,8804,4183,21213,22604,21885,34916,27333,17897,39633,15732,56056,19638,19274,17572,4804,4464,8539,29072,508,13779,1649,10771,76207,21529,2036,39386,57128,9923,21215,36060,154666,188296
"LILRA6",5,0,0,5,3,4,6,8,7,0,6,7,0,0,9,0,45,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,5,0,0,0,0,0,85,0,2,5,4,4,2,3,0,0,3,0,0,6,5,0,0,0,20,0,0,0,0,4,0,0,0,0,0,4,0,10,4,0,3,0,0,0,0,0,0,0,0,0,0,0
"DNHD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,163,130,0,1349,404,570,0,0,0,0,0,0,1356,353,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,302,0,399,0,101,337,3214,0,0,0,0,0,0,399,0,0,0,0,0,0
"ZNF350",850,647,521,3336,3066,2115,4446,3952,2387,2792,2088,3597,5920,0,3567,5063,14093,4449,6352,6417,8338,7758,5838,11234,241,9116,5665,4706,6052,7859,9083,5572,1021,17392,6098,5590,5313,7215,15560,18040,5466,9886,19156,14016,7462,6598,19,9055,2271,3601,3430,0,17232,17859,6328,4127,33814,551,2304,18537,0,0,0,0,0,116,4650,0,116,0,0,0,0,58,126,0,0,0,0,3565,116,58,9238,0,0,0,0,9137,0,0
"GFI1",199,714,182,582,183,282,947,1279,1013,930,548,183,0,0,3532,0,8398,448,1079,0,0,0,962,0,4183,3372,1646,3603,0,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,698,0,0,0,0,0,0,0,0,981,682,0,0,0,0,0,0,0,0,199,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELFN1",21,22,11,30,21,36,32,48,26,23,30,34,18,183,0,0,0,0,93,50,15,79,0,38,63,0,17,0,0,0,0,0,86,0,0,0,19,0,0,0,71,0,0,0,96,42,0,0,7,23,0,0,28,0,0,17,0,0,21,0,318,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0
"UNC5CL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,0,0,0,0,0,0
"C16orf71",258,425,297,303,269,655,353,353,202,241,348,415,1314,1046,2550,2377,179,1472,386,2417,1343,2401,470,1948,2422,59,651,0,0,138,0,81,332,0,0,0,0,0,0,0,667,0,762,0,0,683,0,0,0,0,0,28,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C6orf27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,139,0,0,0,47,0,0,0,112,0,0,0,48,0,0,89,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFEC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
