"","OoCyte_1","OoCyte_2","OoCyte_3","Zygote_1","Zygote_2","Zygote_3","X2_Cell_embryo_1_Cell_1","X2_Cell_embryo_1_Cell_2","X2_Cell_embryo_2_Cell_1","X2_Cell_embryo_2_Cell_2","X2_Cell_embryo_3_Cell_1","X2_Cell_embryo_3_Cell_2","X4_Cell_embryo_1_Cell_1","X4_Cell_embryo_1_Cell_2","X4_Cell_embryo_1_Cell_3","X4_Cell_embryo_1_Cell_4","X4_Cell_embryo_2_Cell_1","X4_Cell_embryo_2_Cell_2","X4_Cell_embryo_2_Cell_3","X4_Cell_embryo_2_Cell_4","X4_Cell_embryo_3_Cell_1","X4_Cell_embryo_3_Cell_2","X4_Cell_embryo_3_Cell_3","X4_Cell_embryo_3_Cell_4","X8_Cell_embryo_1_Cell_1","X8_Cell_embryo_1_Cell_2","X8_Cell_embryo_1_Cell_3","X8_Cell_embryo_1_Cell_4","X8_Cell_embryo_2_Cell_1","X8_Cell_embryo_2_Cell_2","X8_Cell_embryo_2_Cell_3","X8_Cell_embryo_2_Cell_4","X8_Cell_embryo_2_Cell_5","X8_Cell_embryo_2_Cell_6","X8_Cell_embryo_2_Cell_7","X8_Cell_embryo_2_Cell_8","X8_Cell_embryo_3_Cell_1","X8_Cell_embryo_3_Cell_2","X8_Cell_embryo_3_Cell_3","X8_Cell_embryo_3_Cell_4","X8_Cell_embryo_3_Cell_5","X8_Cell_embryo_3_Cell_6","X8_Cell_embryo_3_Cell_7","X8_Cell_embryo_3_Cell_8","Morulae_1_Cell_1","Morulae_1_Cell_2","Morulae_1_Cell_3","Morulae_1_Cell_4","Morulae_1_Cell_5","Morulae_1_Cell_6","Morulae_1_Cell_7","Morulae_1_Cell_8","Morulae_2_Cell_1","Morulae_2_Cell_2","Morulae_2_Cell_3","Morulae_2_Cell_4","Morulae_2_Cell_5","Morulae_2_Cell_6","Morulae_2_Cell_7","Morulae_2_Cell_8","Late_blastoCyst_1_Cell_1","Late_blastoCyst_1_Cell_2","Late_blastoCyst_1_Cell_3","Late_blastoCyst_1_Cell_4","Late_blastoCyst_1_Cell_5","Late_blastoCyst_1_Cell_6","Late_blastoCyst_1_Cell_7","Late_blastoCyst_1_Cell_8","Late_blastoCyst_1_Cell_9","Late_blastoCyst_1_Cell_10","Late_blastoCyst_1_Cell_11","Late_blastoCyst_1_Cell_12","Late_blastoCyst_2_Cell_1","Late_blastoCyst_2_Cell_2","Late_blastoCyst_2_Cell_3","Late_blastoCyst_2_Cell_4","Late_blastoCyst_2_Cell_5","Late_blastoCyst_2_Cell_6","Late_blastoCyst_2_Cell_7","Late_blastoCyst_2_Cell_8","Late_blastoCyst_2_Cell_9","Late_blastoCyst_2_Cell_10","Late_blastoCyst_3_Cell_1","Late_blastoCyst_3_Cell_2","Late_blastoCyst_3_Cell_3","Late_blastoCyst_3_Cell_4","Late_blastoCyst_3_Cell_5","Late_blastoCyst_3_Cell_6","Late_blastoCyst_3_Cell_7","Late_blastoCyst_3_Cell_8"
"TEK",5.844,4.235,4.645,13.447,15.343,17.915,3.651,3.511,4.538,4.932,4.176,4.048,7.494,24.755,23.027,4.866,11.342,9.164,7.423,8.744,12.743,12.184,10.126,8.446,6.125,9.589,7,9.698,2.725,1.807,2.078,7.064,1.991,0.45,0.767,3.65,3.614,0,6.957,6.394,1.247,5.362,0,1.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0.401,0,0,0,0,0,0,0,0,0,4.094,0,0,0,0,0
"ZNF83",1.554,1.469,2.712,5.474,6.33,6.768,4.388,3.829,3.989,3.715,2.845,3.128,25.482,34.866,14.185,20.708,13.19,3.159,4.122,11.92,10.262,4.582,13.002,12.925,34.973,15.379,12.32,1.956,3.673,8.296,12.88,10.646,11.711,1.887,3.913,12.262,0.644,0.581,5.719,0.834,4.088,6.578,3.883,1.822,6.978,1.888,0.178,33.706,10.756,9.933,6.894,0.237,17.433,12.894,6.976,5.266,6.817,4.865,3.712,16.771,5.001,0.118,1.898,0.117,0.161,0,3.063,1.878,19.401,0.645,4.056,0.841,0.1,1.043,0.203,9.044,19.405,13.706,0.622,0.105,0,1.461,0,2.062,28.705,3.256,2.376,3.582,0,34.538
"GDPD5",0,0.394,0,1.582,0.88,1.479,0.765,1.204,1.885,1.653,1.913,2.054,1.694,0,1.735,0,0.547,4.643,3.863,0.749,1.014,3.645,2.08,2.375,0.849,0.78,0.849,0,1.104,0.102,0,0.443,3.796,0,0,0,0.183,0,4.894,0,1.504,5.319,0,1.061,0.279,0,0,2.711,2.79,0,0,0,0,0,0,0.239,0,0.244,0.43,1.817,0,0,0,0,0.767,16.459,10.497,9.412,2.208,34.049,1.775,8.843,2.839,0,0,4.73,0,8.389,0.134,0,6.244,0.335,0,0.872,0,0,0,0,3.283,0
"PDCD4",1.902,3.216,2.743,5.329,2.751,4.085,3.237,3.715,1.234,2.035,2.342,2.094,1.256,3.133,4.155,2.337,0.188,0.927,1.278,6.954,1.783,1.72,3.897,3.339,9.809,5.517,7.708,6.141,3.508,2.353,1,7.242,0.571,0.793,3.846,4.614,4.593,0.133,2.824,4.327,7.154,7.898,1.921,9.394,0.13,1.503,0.938,0.668,0.108,1.666,0.384,13.531,0.802,0.232,0.396,0.845,0,0.261,1.33,0.139,0,1.31,1.005,0.158,0.232,3.847,3.367,0.167,0.389,0,3.724,1.067,0.325,0.511,2.419,0.248,0.187,0.189,0.175,1.051,0.87,0.14,0.989,0.588,0,0,0.138,0,0.127,0.413
"SELL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LTBP4",0.43,0.807,0.822,0.976,0.791,0.853,1.171,0.648,0.646,0.877,0.832,0.79,0.988,1.63,3.731,3.085,3.084,0.741,3.092,0.868,5.268,2.472,1.606,3.195,1.302,0.894,0.309,1.638,0,0.552,0.877,0.939,0,0.376,0.231,0,1.74,3.647,0.511,0.439,3.04,3.267,0.165,0.402,0,0.4,0,0.724,0.507,0,0,0,0.142,1.123,0.438,0,0.465,0.498,0,1.681,0,0,0,0,1.08,0,0,0,0,0,0.292,0,0.154,0.796,0,0,0,0,0,0,0,0,2.054,0,0,0,0,0,0,0.162
"NEFH",16.36,24.039,31.909,60.673,55.914,65.029,26.969,37.398,71.945,67.793,42.783,41.759,45.32,46.612,35.419,38.64,10.012,16.434,13.244,14.147,15.317,13.715,26.889,17.173,36.769,17.317,67.602,55.921,19.266,16.276,25.125,20.766,27.652,31.548,21.137,21.624,20.802,23.169,13.397,30.584,13.095,10.285,33.578,15.844,25.024,50.299,99.264,50.126,29.477,32.527,37.634,112.09,14.187,75.743,24.485,7.708,26.535,30.984,26.323,5.169,0,11.076,7.487,33.976,0,5.936,20.58,12.154,0.157,0,2.323,0.379,94.932,103.405,27.512,71.218,0.484,9.172,87.27,14.18,65.04,0.54,31.75,0,0,32.449,7.739,28.76,0,0
"ROR2",0,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0.424,0,0.88,0,0,2.191,0,0,0,0,0,0,0,0.396,1.944,0,0,0,0,4.912,0.122,0,0,2.743,1.362,0.448,1.728,4.106,0,0,0,0,0,0,0,2.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.018,2.97,0,0.673,0,0.259,4.381,3.752,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0,0,0,0,0,0,0,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.646,8.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0,0,0,0,0,0
"GYPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0,6.292,31.893,55.954,0,0,0,0,28.217,0.585,0.11,142.216,131.798,0.169,45.071,78.254,0.296,0,0
"CHST15",6.564,8.957,9.359,5.207,7.334,5.861,2.704,2.259,2.942,3.234,3.211,2.881,7.798,6.724,12.363,9.293,8.671,2.072,5.532,6.447,6.3,6.399,7.877,8.422,0,2.374,2.67,0,6.913,5.218,5.399,1.999,2.626,1.667,7.139,3.686,0.452,0.991,8.512,3.41,6.72,0.572,3.086,0.286,0,3.166,3.549,10.06,8.855,12.832,10.477,4.558,1.901,3.683,4.039,8.197,15.477,5.066,4.136,16.889,0,1.023,6.464,9.837,1.481,1.413,0.425,3.045,0.156,0,4.735,0,1.947,11.963,0.322,0,0,0.237,12.908,0.399,0.123,0.664,0.641,2.672,0,8.742,3.117,0,0,0
"PLXNA1",0.863,0.706,1.219,0.763,0.634,0.887,0.588,0.646,1.12,1.119,1.276,1.26,1.854,0.781,0.846,0,1.287,0.126,2.957,1.485,0.736,0.964,1.141,1.674,0,0.71,1.931,0.383,0,0,2.335,0.998,0.106,0,0.393,0.699,0.192,0,0,1.222,1.057,0.525,0.104,1.638,0.12,1.288,0,0,0.375,0,0.366,0,0.421,2.23,2.581,1.057,0.5,1.261,2.172,0.424,0.146,3.341,1.367,0,5.221,0.924,5.751,0.63,3.662,0.554,0.466,0.263,1.005,0.182,0,0.519,0,0,2.025,9.648,10.196,0.221,0.414,0.163,4.712,7.241,3.438,4.885,4.825,4.592
"FNDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0
"CD82",35.486,61.282,61.569,73.229,85.403,64.394,57.632,64.182,109.833,125.07,58.736,69.939,102.24,77.556,60.457,98.371,72.431,81.508,70.189,71.94,66.344,84.629,58.497,50.751,62.926,38.445,135.432,74.663,28.81,58.771,26.024,25.473,6.18,27.215,22.259,34.002,51.619,18.712,46.343,19.057,13.602,7.656,17.508,22.724,46.858,78.751,51.492,67.777,77.04,43.3,54.182,29.829,218.431,107.136,207.401,157.761,199.62,115.643,167.431,120.523,1.566,4.019,56.732,4.268,3.945,2.646,1.177,9.968,1.231,1.676,5.446,9.686,6.096,5.997,5.472,4.426,0.954,1.939,1.343,2.703,1.698,2.563,11.706,1.864,8.77,2.593,2.315,3.219,1.279,2.258
"EMILIN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL18A1",0.195,0,0,0.689,0.726,0.822,1.057,0.949,0.575,1.179,0.788,0.894,1.55,0,2.841,0.889,0.385,0,2.013,0.153,0.481,0.744,0.874,1.441,0,0,1.559,0,0,0,0,0,0,0,0,0,0.452,0,0,0.166,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,10.819,0.158,0,0,6.551,0,0,0,0,0,0
"C9orf16",4.326,1.052,2.88,2.474,1.79,4.529,2.613,0.969,2.396,3.436,2.94,2.311,0,11.856,22.768,0.294,21.964,3.978,3.684,32.054,6.428,1.877,9.695,9.41,17.725,6.746,4.465,4.285,8.57,15.696,16.429,3.686,8.221,10.067,12.67,15.647,50.969,32.131,20.004,20.641,26.768,0.593,23.74,38.696,14.876,15.133,0.37,14.408,22.507,16.364,10.741,0,15.849,7.263,41.947,17.546,1.323,44.933,24.505,15.139,4.823,1.343,0,3.478,0,0.261,10.633,0.107,21.595,12.999,6.713,5.318,2.083,3.023,16.484,4.607,5.565,0,1.889,19.936,0.585,4.911,0.382,0.87,119.376,53.696,0.392,62.045,51.94,35.605
"CLCN4",5.474,7.361,6.852,7.469,14.155,10.829,2.726,3.204,4.035,4.522,5.836,6.74,5.187,8.974,6.848,1.15,9.558,9.85,12.968,15.444,7.732,13.063,13.036,12.071,9.994,10.33,2.183,4.766,0.56,0.837,2.581,0.108,1.716,1.383,0.269,0.682,0.849,0.104,2.905,0.718,0.52,0,0,3.795,6.593,0.997,6.602,2.63,0.14,0.374,4.721,0.104,0,0.205,0,0,4.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.589,0,0,0,0,0,2.629,0.134,0,0,0,1.802,0,0,0,0,0,0,0.238,0,0,0,0,0.642,1.94,0,0,1.863,0,0,0.414,0.586,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASS1",3.14,2.816,3.695,4.041,5.572,5.41,3.8,3.081,2.749,4.7,2.931,2.32,12.971,14.894,7.169,10.777,3.715,12.491,8.586,7.268,11.298,12.623,7.879,13.734,1.795,6.97,4.309,4.05,3.873,2.722,1.687,0.728,2.435,2.13,0.198,0.515,2.288,0.621,1.423,2.771,1.042,2.633,1.321,1.16,0,0,0,0,0,0,1.728,0,0.651,0.971,0.261,0,1.635,0,0.369,1.346,0.358,0.424,0,95.193,2.205,0,0.269,2.062,14.085,0,0.102,21.645,7.183,1.089,0,16.252,16.483,32.372,51.264,0.899,0.706,83.869,12.661,0.103,82.797,39.059,0.242,28.753,155.036,19.423
"GNA11",898.742,612.523,750.535,156.085,327.921,375.503,241.963,235.4,268.219,286.888,261.877,286.378,211.211,214.488,185.98,201.154,260.77,256.278,257.514,246.168,380.913,352.988,339.408,311.376,83.762,66.747,133.419,80.085,39.288,59.821,70.725,86.332,68.985,46.113,48.34,31.515,90.633,127.034,70.715,91.382,83.479,117.445,99.974,109.121,189.672,99.872,22.939,56.927,96.774,103.765,102.459,0.587,54.478,40.846,107.182,70.979,119.7,39.041,62.334,93.211,42.455,40.493,13.401,49.36,4.901,63.365,14.592,27.573,46.241,34.777,19.687,21.641,35.648,16.42,61.706,4.61,58.935,61.705,71.76,17.541,106.752,28.013,125.724,32.622,14.211,2.003,0.245,23.536,60.509,65.973
"SDC2",1.294,2.224,2.634,2.881,3.96,5.175,2.014,2.239,2.288,2.097,0.977,2.112,5.059,2.759,0,4.223,3.081,2.199,2.834,0,3.911,5.442,6.04,1.266,7.134,6.048,3.584,10.187,2.117,3.351,8.696,13.643,6.774,3.723,8.169,6.602,2.354,6.384,1.9,0,3.532,0.111,7.571,0.373,12.018,4.616,3.932,8.696,4.219,3.251,1.538,63.474,0.345,0.186,0.161,1.989,1.859,0.222,3.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795,3.649,0,0,0,0,0,0,0,0,0,0,4.354,0,15.579,0,0,0
"AHCYL2",1.391,1.412,1.562,2.063,2.552,3.802,2.592,2.785,1.884,2.317,2.845,2.401,5.132,4.618,6.776,5.854,7.691,2.291,9.577,11.983,8.876,11.418,10.366,14.341,7.882,3.618,4.957,4.598,0.574,5.509,0.87,0.519,1.269,0,0,0.551,2.864,0,0,0.216,0,5.239,0,1.98,0,0,0.729,1.09,0,0.918,0.277,41.091,2.676,0.737,0.191,0,8.347,1.682,1.885,0.1,0,3.162,0,0,0,0,0,0,0,0,0,0,0.196,0.667,0.555,0,0,6.177,0,0.451,0,0,0,0.386,0,0,7.788,0,1.143,0
"TMEM125",1.135,0.672,0.406,1.558,1.52,1.126,1.796,2.209,0.372,1.035,1.37,0.759,9.033,11.07,26.409,1.203,0.158,3.676,1.39,1.674,1.487,0,1.98,5.447,1.122,0.317,0,0,0.71,0,0,0,0,0,0,0,0,0,10.254,2.234,0,0,0,0,0,0,0,2.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.676,0,0
"FUT4",0.541,0.488,0.819,0.426,0.304,0.343,0.222,0.215,0.251,0.455,0.282,0.321,1.296,0.35,0.258,0,0,0,0.909,0,0.213,0.166,0.636,0.19,6.979,19.151,5.084,7.022,27.398,17.8,26.36,22.571,22.02,13.025,16.104,17.11,43.987,46.536,61.246,59.735,40.897,54.025,94.562,75.774,36.223,19.826,0.654,12.732,22.411,28.36,26.937,0.581,22.238,14.536,39.561,37.954,34.229,36.502,22.329,34.707,0.401,4.88,4.47,15.213,11.669,5.605,1.172,9.224,19.027,0.398,5.231,7.544,1.719,0.202,0.183,15.025,7.589,5.227,0.199,0.257,26.559,6.95,0,2.383,0.719,0,0.194,21.444,13.074,14.647
"GSTP1",5.82,6.218,9.276,1.843,3.668,1.337,2.625,1.189,1.141,0.988,0.639,0.153,0.103,8.171,2.362,2.299,4.724,1.814,2.135,0.715,0,0.117,0,0.525,12.195,18.552,0.256,6.055,0.156,11.864,3.593,17.689,8.474,3.534,4.291,4.305,8.573,4.981,57.834,16.743,19.105,0.994,0,27.87,2.984,0,0,3.824,1.9,0.177,0.267,0,39.305,18.159,12.854,3.113,39.437,2.178,27.074,6.26,390.857,552.956,388.634,911.439,471.5,615.861,651.541,719.233,311.749,373.493,1249.515,577.138,1086.907,1548.477,1189.701,505.225,893.562,1153.362,644.809,918.605,1260.351,650.302,1561.231,593.131,489.57,476.516,1285.85,653.726,1447.919,803.906
"SLC9A3R1",6.205,5.367,8.683,46.846,40.947,60.961,34.907,35.593,38.217,41.649,26.726,28.189,15.871,47.285,23.17,6.904,51.001,41.509,38.882,34.446,50.885,22.185,39.363,42.598,7.482,14.726,17.485,27.35,0.521,0.729,24.573,4.058,2.646,9.958,8.018,8.007,8.565,19.591,0.122,15.065,10.89,0.334,20.729,5.082,44.468,48.531,0.395,6.122,6.986,7.26,30.204,0,84.833,39.726,7.145,33.366,72.167,23.397,35.998,11.342,45.008,94.684,60.443,96.877,69.573,80.173,118.543,57.66,98.455,66.865,87.059,91.573,22.836,15.423,41.225,79.228,1.517,30.587,5.626,53.716,191.129,40.761,6.671,90.271,124.383,23.536,56.946,91.427,286.789,359.459
"LILRA6",0.105,0,0,0.155,0.102,0.109,0.11,0.155,0.145,0,0.111,0.121,0,0,0.13,0,0.832,0.129,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0.347,0,0,0,0,0.135,0.111,0,0,0,0,0,2.63,0,0.201,0.147,0.141,0.151,0.13,0.358,0,0,0.123,0,0,0.152,0.195,0,0,0,0.511,0,0,0,0,0.155,0,0,0,0,0,0.146,0,0.259,0.11,0,0.108,0,0,0,0,0,0,0,0,0,0,0
